fetched_at,SETTLEMENTDATE,REGIONID,PRICE,PRICE_STATUS,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION,NETINTERCHANGE
2026-08-21T03:04:14.243Z,2026-08-21T13:05:00,SA1,53,,,,1038.38,249.89257,445.33743,-337.43
2026-08-21T03:04:14.243Z,2026-08-21T13:05:00,TAS1,33.53019,,,,937.7,558.75933,344.73067,-34.21
2026-08-21T03:04:14.243Z,2026-08-21T13:05:00,VIC1,34,,,,6740.03,4327.93774,2302.27226,-102.27
2026-08-21T03:09:14.237Z,2026-08-21T13:10:00,NSW1,68.02,,,,7502.41,4144.97483,2811.29517,-483.05
2026-08-21T03:09:14.237Z,2026-08-21T13:10:00,QLD1,-6,,,,4750.61,3201.8364,2520.7836,1049.52
2026-08-21T03:09:14.237Z,2026-08-21T13:10:00,SA1,53,,,,1075.77,245.99924,491.39076,-332.53
2026-08-21T03:09:14.237Z,2026-08-21T13:10:00,TAS1,40.41209,,,,926.95,569.42749,342.61251,-14.91
2026-08-21T03:09:14.237Z,2026-08-21T13:10:00,VIC1,41.22,,,,6687.91,4414.50493,2200.82507,-66.58
2026-08-21T03:14:14.229Z,2026-08-21T13:15:00,NSW1,66.53,,,,7559.14,4126.31029,2797.20971,-567.72
2026-08-21T03:14:14.229Z,2026-08-21T13:15:00,QLD1,-4.84,,,,4824.43,3200.58005,2650.54995,1110.53
2026-08-21T03:14:14.229Z,2026-08-21T13:15:00,SA1,53,,,,1071.8,246.00368,483.52632,-335.95
2026-08-21T03:14:14.229Z,2026-08-21T13:15:00,TAS1,35.43666,,,,932.04,561.93817,333.24183,-36.87
2026-08-21T03:14:14.229Z,2026-08-21T13:15:00,VIC1,35.94013,,,,6615.03,4446.3547,2156.7453,-6.07
2026-08-21T03:19:14.623Z,2026-08-21T13:20:00,NSW1,66.53,,,,7578.6,4123.83346,2643.68654,-744.26
2026-08-21T03:19:14.623Z,2026-08-21T13:20:00,QLD1,-5,,,,4857.39,3201.88308,2683.28692,1111.66
2026-08-21T03:19:14.623Z,2026-08-21T13:20:00,SA1,48.51695,,,,1063.21,245.99791,485.12209,-326.91
2026-08-21T03:19:14.623Z,2026-08-21T13:20:00,TAS1,45.13456,,,,932.89,582.66404,328.45596,-21.77
2026-08-21T03:19:14.623Z,2026-08-21T13:20:00,VIC1,45.91,,,,6514.87,4504.28506,2147.73494,140.15
2026-08-21T03:24:14.519Z,2026-08-21T13:25:00,NSW1,69.9902,,,,7520.76,4130.8138,2564.1562,-760.07
2026-08-21T03:24:14.519Z,2026-08-21T13:25:00,QLD1,-6.01,,,,4654.19,3199.85552,2469.44448,1097.7
2026-08-21T03:24:14.519Z,2026-08-21T13:25:00,SA1,52,,,,1057.47,246.00172,492.08828,-314.92
2026-08-21T03:24:14.519Z,2026-08-21T13:25:00,TAS1,48.00365,,,,943.5,582.18835,340.06165,-21.26
2026-08-21T03:24:14.519Z,2026-08-21T13:25:00,VIC1,48.8332,,,,6537.19,4553.77697,2134.72303,153.44
2026-08-21T03:29:14.837Z,2026-08-21T13:30:00,NSW1,66.53,,,,7475.4,4135.44915,2584.18085,-688.07
2026-08-21T03:29:14.837Z,2026-08-21T13:30:00,QLD1,-6,,,,4706.55,3199.65674,2543.54326,1121.57
2026-08-21T03:29:14.837Z,2026-08-21T13:30:00,SA1,49.66,,,,1108.48,245.99987,554.43013,-302.24
2026-08-21T03:29:14.837Z,2026-08-21T13:30:00,TAS1,45.2667,,,,949.89,583.2773,329.9227,-36.7
2026-08-21T03:29:14.837Z,2026-08-21T13:30:00,VIC1,45.91,,,,6622.76,4563.68874,2122.93126,67.4
2026-08-21T03:34:14.273Z,2026-08-21T13:35:00,NSW1,69.95,,,,7371.27,4118.04518,2647.70482,-537.17
2026-08-21T03:34:14.273Z,2026-08-21T13:35:00,QLD1,-6,,,,4672.33,3201.81593,2501.28407,1114.84
2026-08-21T03:34:14.273Z,2026-08-21T13:35:00,SA1,34.31233,,,,1066.24,245.00405,611.32595,-203.16
2026-08-21T03:34:14.273Z,2026-08-21T13:35:00,TAS1,35.26043,,,,954.42,559.52362,319.69638,-75.19
2026-08-21T03:34:14.273Z,2026-08-21T13:35:00,VIC1,35.45,,,,6769.4,4474.49874,2154.76126,-133.88
2026-08-21T03:39:14.246Z,2026-08-21T13:40:00,NSW1,66.53,,,,7479.75,4126.44319,2710.19681,-575.78
2026-08-21T03:39:14.246Z,2026-08-21T13:40:00,QLD1,-5,,,,4766.35,3211.19734,2584.01266,1112.3
2026-08-21T03:39:14.246Z,2026-08-21T13:40:00,SA1,35.43243,,,,1043.92,244.99935,570.90065,-221.92
2026-08-21T03:39:14.246Z,2026-08-21T13:40:00,TAS1,33.34627,,,,943.51,575.00387,306.79613,-61.72
2026-08-21T03:39:14.246Z,2026-08-21T13:40:00,VIC1,35.94015,,,,6715.69,4496.19891,2123.46109,-91.19
2026-08-21T03:44:14.289Z,2026-08-21T13:45:00,NSW1,66.53,,,,7540.59,4126.44929,2769.59071,-576.53
2026-08-21T03:44:14.289Z,2026-08-21T13:45:00,QLD1,-6,,,,4711.03,3211.98762,2533.61238,1118.94
2026-08-21T03:44:14.289Z,2026-08-21T13:45:00,SA1,35.13614,,,,1025.51,244.99866,573.37134,-200.85
2026-08-21T03:44:14.289Z,2026-08-21T13:45:00,TAS1,30.1,,,,949.65,547.09782,315.55218,-87
2026-08-21T03:44:14.289Z,2026-08-21T13:45:00,VIC1,35.94015,,,,6664.65,4534.90803,2033.86197,-91.12
2026-08-21T03:49:14.254Z,2026-08-21T13:50:00,NSW1,66.53,,,,7403.46,4126.99727,2856.58273,-341.2
2026-08-21T03:49:14.254Z,2026-08-21T13:50:00,QLD1,-3.51,,,,4761.78,3211.83555,2636.93445,1177.9
