fetched_at,SOURCE,INTERVAL_DATETIME,REGIONID,POWER,QI,LASTCHANGED
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 07:30:00,TAS1,7.324,0.6,2026/08/24 07:50:20
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 07:30:00,VIC1,62.257,0.6,2026/08/24 07:50:20
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:00:00,NSW1,1537.11,0.6,2026/08/24 08:20:22
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:00:00,QLD1,1159.609,0.6,2026/08/24 08:20:22
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:00:00,SA1,50.02,0.6,2026/08/24 08:20:22
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:00:00,TAS1,26.586,0.6,2026/08/24 08:20:22
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:00:00,VIC1,427.751,0.6,2026/08/24 08:20:23
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:30:00,NSW1,2200.909,0.6,2026/08/24 08:50:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:30:00,QLD1,1551.764,0.6,2026/08/24 08:50:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:30:00,SA1,111.261,0.6,2026/08/24 08:50:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:30:00,TAS1,43.58,0.6,2026/08/24 08:50:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 08:30:00,VIC1,740.524,0.6,2026/08/24 08:50:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 09:00:00,NSW1,2830.992,0.6,2026/08/24 09:20:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 09:00:00,QLD1,1936.046,0.6,2026/08/24 09:20:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 09:00:00,SA1,133.003,0.6,2026/08/24 09:20:19
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 09:00:00,TAS1,58.888,0.6,2026/08/24 09:20:20
2026-08-23T23:41:15.300Z,SATELLITE,2026/08/24 09:00:00,VIC1,1037.734,0.6,2026/08/24 09:20:20
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 06:30:00,NSW1,2.015,1,2026/08/24 06:48:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 06:30:00,QLD1,9.881,0.7,2026/08/24 06:48:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 06:30:00,SA1,0,1,2026/08/24 06:48:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 06:30:00,TAS1,0,1,2026/08/24 06:48:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 06:30:00,VIC1,0,1,2026/08/24 06:48:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:00:00,NSW1,113.527,1,2026/08/24 07:19:01
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:00:00,QLD1,168.508,0.7,2026/08/24 07:19:02
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:00:00,SA1,0,1,2026/08/24 07:19:02
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:00:00,TAS1,0.044,1,2026/08/24 07:19:02
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:00:00,VIC1,1.68,1,2026/08/24 07:19:02
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:30:00,NSW1,551.174,1,2026/08/24 07:49:00
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:30:00,QLD1,483.217,0.7,2026/08/24 07:49:00
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:30:00,SA1,0.417,1,2026/08/24 07:49:00
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:30:00,TAS1,3.028,1,2026/08/24 07:49:00
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 07:30:00,VIC1,77.203,0.7,2026/08/24 07:49:01
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:00:00,NSW1,1191.06,1,2026/08/24 08:18:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:00:00,QLD1,912.083,0.7,2026/08/24 08:18:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:00:00,SA1,10.982,1,2026/08/24 08:18:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:00:00,TAS1,12.145,1,2026/08/24 08:18:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:00:00,VIC1,347.982,0.7,2026/08/24 08:18:58
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:30:00,NSW1,1951.981,1,2026/08/24 08:49:01
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:30:00,QLD1,1332.095,0.7,2026/08/24 08:49:01
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:30:00,SA1,39.535,1,2026/08/24 08:49:01
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:30:00,TAS1,28.294,1,2026/08/24 08:49:01
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 08:30:00,VIC1,714.64,0.7,2026/08/24 08:49:01
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 09:00:00,NSW1,2689.374,1,2026/08/24 09:19:05
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 09:00:00,QLD1,1774.013,0.7,2026/08/24 09:19:05
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 09:00:00,SA1,80.796,1,2026/08/24 09:19:05
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 09:00:00,TAS1,45.647,1,2026/08/24 09:19:05
2026-08-23T23:41:15.300Z,MEASUREMENT,2026/08/24 09:00:00,VIC1,1011.668,0.7,2026/08/24 09:19:05
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 09:30:00,NSW1,3398.305,0.6,2026/08/24 09:50:20
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 09:30:00,QLD1,2312.584,0.6,2026/08/24 09:50:20
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 09:30:00,SA1,146.186,0.6,2026/08/24 09:50:21
2026-08-24T01:52:52.197Z,SATELLITE,2026/08/24 09:30:00,TAS1,71.076,0.6,2026/08/24 09:50:21
