SETTLEMENTDATE,REGIONID,RRP,TOTALDEMAND,NETINTERCHANGE,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION
2026-08-23T10:55:00,TAS1,-5.88,1069.23,-432.78,419.37531,217.07469
2026-08-23T10:55:00,VIC1,-7.5,4160.49,287.47,2841.00253,1587.49747
2026-08-23T11:00:00,NSW1,23.95,6940.14,-402.82,2469.45856,4028.25144
2026-08-23T11:00:00,QLD1,-8.51,4965.42,776.09,3324.85878,2363.74122
2026-08-23T11:00:00,SA1,-7.0261,1000.62,-25.11,74.99881,892.14119
2026-08-23T11:00:00,TAS1,-5.88,1056.82,-441,407.97448,207.84552
2026-08-23T11:00:00,VIC1,-7.5,4174.15,206.29,2841.00367,1526.89633
2026-08-23T11:05:00,NSW1,23.51,6848.17,-421.92,2466.17764,3920.95236
2026-08-23T11:05:00,QLD1,-8.51,4931.54,771.58,3324.65684,2326.16316
2026-08-23T11:05:00,SA1,-7.73135,1006.69,-176.21,51.50114,774.46886
2026-08-23T11:05:00,TAS1,-5.88,1058.13,-441,411.8682,205.2618
2026-08-23T11:05:00,VIC1,-8,3852.89,372.38,2841.00279,1375.36721
2026-08-23T11:10:00,NSW1,23.51,6955.45,-453.08,2455.99813,4004.58187
2026-08-23T11:10:00,QLD1,-7.75,4930.05,816.15,3326.20613,2364.22387
2026-08-23T11:10:00,SA1,-7.05416,899.06,-69.73,55.49531,766.86469
2026-08-23T11:10:00,TAS1,-5.88,1043.99,-432.78,406.95637,204.25363
2026-08-23T11:10:00,VIC1,-7.5,4002.65,254.39,2750.80971,1495.80029
2026-08-23T11:15:00,NSW1,15.77,6955.72,-444.19,2456.00039,4017.07961
2026-08-23T11:15:00,QLD1,-7.3,5013.77,765.99,3324.81962,2403.66038
2026-08-23T11:15:00,SA1,-7.07264,902.45,-89.54,54.50213,751.57787
2026-08-23T11:15:00,TAS1,-5.9,1049.32,-441,390.07531,218.24469
2026-08-23T11:15:00,VIC1,-7.5,4004.44,316.5,2721.00337,1588.74663
2026-08-23T11:20:00,NSW1,23.51,6862.51,-322.97,2455.99716,4045.60284
2026-08-23T11:20:00,QLD1,-7.79,4944.78,767.5,3324.81995,2335.82005
2026-08-23T11:20:00,SA1,-6.51,902.41,-80.75,57.50427,757.27573
2026-08-23T11:20:00,TAS1,-5.96,1028.21,-441,365.25143,221.95857
2026-08-23T11:20:00,VIC1,-6.90553,4185.98,183.57,2660.99958,1698.67042
2026-08-23T11:25:00,NSW1,15.77,7026.22,-454.11,2456.00209,4077.24791
2026-08-23T11:25:00,QLD1,-7.75,4956.86,776.14,3324.66775,2356.27225
2026-08-23T11:25:00,SA1,-5.28053,780.72,209.77,60.50386,909.68614
2026-08-23T11:25:00,TAS1,-5.9,1021.19,-419.15,399.99557,202.04443
2026-08-23T11:25:00,VIC1,-6,4430.64,20.94,2616.99869,1812.22131
2026-08-23T11:30:00,NSW1,15.77,6916,-379.89,2456.00362,4045.25638
2026-08-23T11:30:00,QLD1,-7.3,4969.05,721.51,3324.41316,2318.76684
2026-08-23T11:30:00,SA1,-5.59468,666.64,339.39,62.49903,915.14097
2026-08-23T11:30:00,TAS1,-5.9,1014.97,-432.78,393.65515,188.53485
2026-08-23T11:30:00,VIC1,-6.50987,4405.63,-107.16,2565.00262,1703.01738
2026-08-23T11:35:00,NSW1,15.77,6930.98,-443.01,2456.00288,3994.23712
2026-08-23T11:35:00,QLD1,-7.34,4958.68,766.87,3324.05283,2350.55717
2026-08-23T11:35:00,SA1,-5.55476,597.38,346.78,63.49694,851.68306
2026-08-23T11:35:00,TAS1,14.12,1018.23,-441,381.45557,195.77443
2026-08-23T11:35:00,VIC1,-6.5,4408.62,-80.27,2514.99636,1781.63364
2026-08-23T11:40:00,NSW1,23.51,6828.65,-387.28,2455.99502,3945.92498
2026-08-23T11:40:00,QLD1,-7.25,5081.1,811.83,3325.06426,2513.74574
2026-08-23T11:40:00,SA1,-6.38592,457.35,371.43,66.4972,731.0528
2026-08-23T11:40:00,TAS1,-5.88,1006.81,-441,381.62683,184.18317
2026-08-23T11:40:00,VIC1,-7.5,4385.14,-197.67,2517.99688,1636.94312
2026-08-23T11:45:00,NSW1,15.77,6903.03,-452.34,2456.00239,3955.30761
2026-08-23T11:45:00,QLD1,-7.25,5136.49,807.65,3324.95855,2565.62145
2026-08-23T11:45:00,SA1,-5.61567,579.06,369.51,64.49829,852.23171
2026-08-23T11:45:00,TAS1,-5.88,1010.25,-432.78,384.97834,192.49166
2026-08-23T11:45:00,VIC1,-6.6,4454.03,-133.96,2530.9994,1755.7706
2026-08-23T11:50:00,NSW1,23.51,6686.47,-297.34,2456.00048,3894.40952
2026-08-23T11:50:00,QLD1,-7.25,5064.37,809.65,3326.43319,2493.85681
2026-08-23T11:50:00,SA1,-6.02,580.19,276.31,67.50344,763.80656
2026-08-23T11:50:00,TAS1,-5.9,988.51,-432.78,368.91765,186.81235
2026-08-23T11:50:00,VIC1,-6.94496,4532.9,-212.7,2530.99754,1763.71246
2026-08-23T11:55:00,NSW1,23.51,6674.08,-294.57,2455.99591,3884.18409
2026-08-23T11:55:00,QLD1,-7.25,5119.93,822.44,3325.72657,2562.01343
2026-08-23T11:55:00,SA1,-6.59827,564.31,210.53,70.50244,683.57756
2026-08-23T11:55:00,TAS1,-5.88,993.11,-432.78,383.28483,177.04517
2026-08-23T11:55:00,VIC1,-7.5,4423.89,-169.85,2531.00368,1701.97632
2026-08-23T12:00:00,NSW1,23.51,6643.37,-268.02,2456.00066,3880.96934
2026-08-23T12:00:00,QLD1,-7.01,5126.99,810.3,3324.81926,2558.95074
2026-08-23T12:00:00,SA1,-6.56463,550.36,215.14,74.49717,670.16283
2026-08-23T12:00:00,TAS1,-5.9,991.47,-441,375.85066,174.61934
2026-08-23T12:00:00,VIC1,-7.5,4441.91,-182.16,2541.99599,1696.23401
2026-08-23T12:05:00,NSW1,23.9901,6693.55,-335.95,2493.43443,3821.59557
2026-08-23T12:05:00,QLD1,-7.24997,4975.69,868.19,3325.11623,2459.67377
2026-08-23T12:05:00,SA1,-4.32012,577.47,340.23,79.00249,808.83751
2026-08-23T12:05:00,TAS1,-5.35731,984.96,-403.93,394.89554,186.12446
2026-08-23T12:05:00,VIC1,-5.05967,4726.51,-309.53,2546.99662,1842.50338
2026-08-23T12:10:00,NSW1,41.88,6707.66,-391.46,2528.99791,3745.60209
2026-08-23T12:10:00,QLD1,-7.01,4941.7,858.14,3324.52029,2417.37971
2026-08-23T12:10:00,SA1,-4.25264,557.92,377.8,83.00146,820.70854
2026-08-23T12:10:00,TAS1,-5.34176,977.86,-407.09,394.7965,175.9735
2026-08-23T12:10:00,VIC1,-5.03,4739.08,-276.3,2565.99846,1867.24154
2026-08-23T12:15:00,NSW1,23.51,6782.37,-431.44,2496.88483,3813.25517
2026-08-23T12:15:00,QLD1,-7.01,5002.13,839.72,3326.01641,2459.55359
2026-08-23T12:15:00,SA1,-4.00291,594.13,315.11,80.50069,801.71931
2026-08-23T12:15:00,TAS1,-4.95434,961.37,-389.29,394.89791,177.18209
2026-08-23T12:15:00,VIC1,-4.68,4655.07,-185.51,2565.99556,1879.06444
2026-08-23T12:20:00,NSW1,23.99016,6744.46,-373.83,2549.02448,3779.81552
2026-08-23T12:20:00,QLD1,-7.25,4890.98,855.66,3325.72382,2362.90618
2026-08-23T12:20:00,SA1,-4.05342,618.41,275.11,82.99781,786.92219
2026-08-23T12:20:00,TAS1,-4.9,964.33,-416.32,357.3557,190.6443
2026-08-23T12:20:00,VIC1,-4.68,4709.43,-195.01,2565.99755,1926.20245
2026-08-23T12:25:00,NSW1,23.9901,6751.36,-394.81,2529.55422,3788.28578
2026-08-23T12:25:00,QLD1,-7.25,4862.5,805.88,3324.51334,2290.23666
2026-08-23T12:25:00,SA1,-4.06223,659.18,263.62,82.99619,817.38381
2026-08-23T12:25:00,TAS1,-4.9,964.44,-407.63,362.0484,194.7516
2026-08-23T12:25:00,VIC1,-4.68,4616.53,-131.1,2565.99681,1898.22319
2026-08-23T12:30:00,NSW1,23.9901,6730.68,-435.1,2490.67114,3765.90886
2026-08-23T12:30:00,QLD1,-7.25,4973.02,805.58,3324.04807,2401.29193
2026-08-23T12:30:00,SA1,-4.31898,828.5,55.93,83.00128,790.97872
2026-08-23T12:30:00,TAS1,-5.01839,960.92,-393.64,373.90444,193.37556
2026-08-23T12:30:00,VIC1,-4.74,4411.4,79.81,2565.99983,1915.35017
2026-08-23T12:35:00,NSW1,42.55,6612.23,-291.73,2564.45292,3720.47708
2026-08-23T12:35:00,QLD1,-7.3,4818.45,759.41,3323.96006,2204.22994
2026-08-23T12:35:00,SA1,-3.16137,788.73,91.86,82.99733,785.41267
2026-08-23T12:35:00,TAS1,-2.98807,972.06,-425.39,353.90098,192.76902
2026-08-23T12:35:00,VIC1,-3.5,4543.25,-24.36,2566.00482,1940.51518
2026-08-23T12:40:00,NSW1,28.05,6781.26,-399.07,2607.66433,3737.97567
2026-08-23T12:40:00,QLD1,-7.3,4823.14,768.31,3325.72572,2215.52428
2026-08-23T12:40:00,SA1,0,800.49,136.37,83.00405,838.95595
2026-08-23T12:40:00,TAS1,0.12,978.18,-395.85,377.76965,204.56035
2026-08-23T12:40:00,VIC1,0,4665.9,6.03,2566.00077,2091.78923
2026-08-23T12:45:00,NSW1,42.88,6662.57,-278.51,2664.76181,3684.52819
2026-08-23T12:45:00,QLD1,-7.3,4868.19,757.3,3324.05577,2252.33423
2026-08-23T12:45:00,SA1,-4.21,805.87,47.75,83.00306,760.50694
2026-08-23T12:45:00,TAS1,-4.18623,966.78,-410.24,358.90015,197.63985
2026-08-23T12:45:00,VIC1,-4.62932,4480.22,-13.45,2566.00314,1891.90686
2026-08-23T12:50:00,NSW1,42.55,6790.61,-446.69,2629.57773,3678.35227
2026-08-23T12:50:00,QLD1,-8.5102,4749.14,750.71,3324.97031,2126.18969
2026-08-23T12:50:00,SA1,-4.21,717.53,163.83,82.99833,782.11167
2026-08-23T12:50:00,TAS1,-4.28969,976.86,-425.56,358.80068,192.49932
2026-08-23T12:50:00,VIC1,-4.7308,4448.11,77.04,2565.9955,1940.7645
2026-08-23T12:55:00,NSW1,42.80007,6705.91,-343.04,2666.40128,3663.09872
2026-08-23T12:55:00,QLD1,-7.79,4756.78,725.5,3324.10807,2111.83193
2026-08-23T12:55:00,SA1,-4.61955,793.25,19.21,82.9953,720.1047
2026-08-23T12:55:00,TAS1,-4.61827,974.17,-422.09,358.89593,193.18407
2026-08-23T12:55:00,VIC1,-5.03,4389.77,119.7,2565.99551,1933.24449
2026-08-23T13:00:00,NSW1,42.55,6788.63,-406.67,2677.04118,3667.61882
2026-08-23T13:00:00,QLD1,-7.79,4591.41,775.16,3324.413,1991.027
2026-08-23T13:00:00,SA1,-0.04521,766,79.09,82.99693,750.37307
2026-08-23T13:00:00,TAS1,0.12,975.07,-398.67,384.65681,191.73319
2026-08-23T13:00:00,VIC1,-0.05,4531.7,62.54,2566.00403,2016.92597
2026-08-23T13:05:00,NSW1,42.88,6791.56,-342.84,2753.20495,3657.99505
2026-08-23T13:05:00,QLD1,-7.3,4698.78,787.93,3324.41236,2110.18764
2026-08-23T13:05:00,SA1,-0.04535,767.05,63.49,82.99826,736.50174
2026-08-23T13:05:00,TAS1,0.12,969.99,-396.88,361.95754,211.14246
2026-08-23T13:05:00,VIC1,-0.05,4606.49,-1.45,2565.99931,2029.46069
2026-08-23T13:10:00,NSW1,42.80018,6951.38,-454.75,2827.42781,3628.86219
2026-08-23T13:10:00,QLD1,-7.3,4651.37,816.71,3325.36414,2087.84586
2026-08-23T13:10:00,SA1,-1.48339,712.32,95.71,82.99957,712.14043
2026-08-23T13:10:00,TAS1,-1.03193,962.3,-409.35,344.89549,208.04451
2026-08-23T13:10:00,VIC1,-1.64996,4486.01,72.97,2565.99626,1979.78374
2026-08-23T13:15:00,NSW1,42.88,6848.66,-320.25,2899.34671,3590.81329
2026-08-23T13:15:00,QLD1,-7.24997,4767.06,804.5,3324.105,2194.175
2026-08-23T13:15:00,SA1,0,808.59,40.55,82.99866,756.16134
2026-08-23T13:15:00,TAS1,0,962.74,-379.59,357.8981,225.2519
2026-08-23T13:15:00,VIC1,0,4625.28,-36.48,2566.00041,2015.55959
2026-08-23T13:20:00,NSW1,42.55,6908.72,-376.43,2854.58074,3641.17926
2026-08-23T13:20:00,QLD1,-8.51,4615.35,767.57,3324.25344,2008.39656
2026-08-23T13:20:00,SA1,0.88,787.77,8.82,83.00339,705.33661
2026-08-23T13:20:00,TAS1,0.99678,962.57,-316.67,444.79917,201.10083
2026-08-23T13:20:00,VIC1,0.95642,4626.39,15.27,2565.99843,2072.15157
2026-08-23T13:25:00,NSW1,42.80013,6816.08,-277.39,2916.6804,3581.4296
2026-08-23T13:25:00,QLD1,-8,4570.31,827.65,3323.90229,2018.19771
2026-08-23T13:25:00,SA1,-5.16389,803.05,-66.36,83.0019,648.2581
2026-08-23T13:25:00,TAS1,-5.12954,970.19,-423.27,339.90309,207.02691
2026-08-23T13:25:00,VIC1,-5.52,4394.5,47.19,2565.99654,1869.72346
2026-08-23T13:30:00,NSW1,23.95,6914.51,-430.97,2813.97839,3629.47161
2026-08-23T13:30:00,QLD1,-8.51,4503.98,813.14,3324.81184,1937.84816
2026-08-23T13:30:00,SA1,-4.37982,873.43,-69.78,83.0034,714.6266
2026-08-23T13:30:00,TAS1,-4.59411,958.85,-401.52,339.90348,217.42652
2026-08-23T13:30:00,VIC1,-4.67,4267.17,196.03,2566.00022,1890.87978
2026-08-23T13:35:00,NSW1,23.9901,6967.63,-381.35,2849.75053,3696.21947
2026-08-23T13:35:00,QLD1,-8.71,4521.31,822.63,3323.65631,1965.09369
2026-08-23T13:35:00,SA1,-5.5369,843.63,-12.82,83.00021,739.66979
2026-08-23T13:35:00,TAS1,-5.65126,962.71,-429.85,313.89522,218.96478
2026-08-23T13:35:00,VIC1,-6,4392.07,114.56,2565.99565,1931.10435
2026-08-23T13:40:00,NSW1,23.9901,7075.19,-435.79,2866.67708,3734.73292
2026-08-23T13:40:00,QLD1,-8.88,4526.84,781.4,3325.4225,1931.2975
2026-08-23T13:40:00,SA1,-1.09996,821.99,19.34,83.00257,749.23743
2026-08-23T13:40:00,TAS1,-1.26826,954.89,-398.1,328.8959,227.8941
2026-08-23T13:40:00,VIC1,-1.19804,4438.35,141.14,2550.00328,2020.10672
2026-08-23T13:45:00,NSW1,23.95,7092.25,-534.03,2825.05822,3691.96178
2026-08-23T13:45:00,QLD1,-8.8,4460.32,817.11,3324.41474,1898.36526
2026-08-23T13:45:00,SA1,-4.52687,672.39,88.6,82.99551,665.51449
2026-08-23T13:45:00,TAS1,-4.61041,958.84,-415.99,320.90038,221.94962
2026-08-23T13:45:00,VIC1,-5.03,4353.99,167.53,2545.99915,1960.63085
2026-08-23T13:50:00,NSW1,23.95,6973.64,-522.25,2814.21795,3597.27205
2026-08-23T13:50:00,QLD1,-10.32,4529.37,799.1,3322.38718,1953.20282
2026-08-23T13:50:00,SA1,-3.15138,681.34,92.49,82.99539,678.11461
2026-08-23T13:50:00,TAS1,-2.98599,956.99,-415.68,320.90177,220.40823
2026-08-23T13:50:00,VIC1,-3.5,4399.52,167.13,2545.9955,2005.3645
2026-08-23T13:55:00,NSW1,23.9901,7012.61,-509.18,2856.40645,3603.27355
2026-08-23T13:55:00,QLD1,-10.32,4467.85,861.88,3322.74325,1948.02675
2026-08-23T13:55:00,SA1,-0.08723,649.24,230.39,82.99652,775.78348
2026-08-23T13:55:00,TAS1,0.62382,969.18,-418.8,320.70441,229.67559
2026-08-23T13:55:00,VIC1,-0.1,4570.56,-18.99,2545.9956,1983.8344
2026-08-23T14:00:00,NSW1,23.95,7052.45,-600.49,2815.99941,3594.41059
2026-08-23T14:00:00,QLD1,-10.32,4498.17,802.08,3323.79621,1923.20379
2026-08-23T14:00:00,SA1,-3.10337,582.43,165.91,82.99741,648.79259
2026-08-23T14:00:00,TAS1,-3.69319,963.26,-381.24,320.90226,261.11774
2026-08-23T14:00:00,VIC1,-3.5,4394,144.32,2546.00336,1973.07664
2026-08-23T14:05:00,NSW1,23.51,7070.08,-517.8,2893.28627,3618.33373
2026-08-23T14:05:00,QLD1,-8.76,4452.33,814.29,3302.52136,1909.89864
2026-08-23T14:05:00,SA1,-0.26475,602.46,172.56,82.99899,675.04101
2026-08-23T14:05:00,TAS1,-0.31655,952.76,-374.08,326.69653,251.98347
2026-08-23T14:05:00,VIC1,-0.3,4602.09,33.34,2546.00228,2072.95772
2026-08-23T14:10:00,NSW1,11.4,7139.42,-573.75,2898.21934,3623.65066
2026-08-23T14:10:00,QLD1,-8.51,4423.72,853.79,3288.43148,1931.30852
2026-08-23T14:10:00,SA1,-4.50955,633.78,100.28,82.99902,638.31098
2026-08-23T14:10:00,TAS1,-4.97074,959.75,-410.55,319.80243,229.39757
2026-08-23T14:10:00,VIC1,-5.03,4357.14,159.63,2546.00014,1955.68986
2026-08-23T14:15:00,NSW1,23.51,7097.35,-433.05,2971.11857,3650.89143
2026-08-23T14:15:00,QLD1,-8.8,4213.24,857.52,3270.15942,1742.57058
2026-08-23T14:15:00,SA1,-5.1783,635.25,75.35,83.00099,615.89901
2026-08-23T14:15:00,TAS1,-5.37319,972.6,-423.98,319.90297,228.71703
2026-08-23T14:15:00,VIC1,-5.73,4465.61,48.24,2546.0009,1955.7991
2026-08-23T14:20:00,NSW1,23.51,7328.55,-617.64,3004.60772,3657.95228
2026-08-23T14:20:00,QLD1,-10.32,4260.49,921.65,3367.28988,1751.07012
2026-08-23T14:20:00,SA1,-0.04435,576.47,150.8,83.00214,628.25786
2026-08-23T14:20:00,TAS1,0.66675,981.41,-422.03,326.9026,232.4774
2026-08-23T14:20:00,VIC1,-0.05,4362.75,114.03,2545.99696,1912.11304
2026-08-23T14:25:00,NSW1,25.1,7155.99,-420.68,3048.56804,3640.03196
2026-08-23T14:25:00,QLD1,-8.51,4296.72,926.16,3268.81138,1890.34862
2026-08-23T14:25:00,SA1,-0.04475,637.35,129.03,83.00145,668.50855
2026-08-23T14:25:00,TAS1,-0.05309,980.43,-409.82,326.90432,243.70568
2026-08-23T14:25:00,VIC1,-0.05,4583.21,-85.26,2545.99709,1937.82291
2026-08-23T14:30:00,NSW1,22.96019,7444.71,-794.28,3000.64912,3597.91088
2026-08-23T14:30:00,QLD1,-7.79,4290.93,930.36,3266.88528,1890.53472
2026-08-23T14:30:00,SA1,3.94161,557.23,143.51,83.00273,602.25727
2026-08-23T14:30:00,TAS1,4.69325,989.81,-411.26,357.79775,220.75225
2026-08-23T14:30:00,VIC1,4.42,4297.79,286.26,2566.00311,1994.66689
2026-08-23T14:35:00,NSW1,25.1,7152.04,-469.13,3086.14974,3548.75026
2026-08-23T14:35:00,QLD1,-7.34,4403.49,950.34,3412.18415,1876.56585
2026-08-23T14:35:00,SA1,0.0002,636.6,79.41,83.00274,621.44726
2026-08-23T14:35:00,TAS1,0.72024,993.72,-419.47,333.90486,240.35514
2026-08-23T14:35:00,VIC1,0.00022,4466.3,-4.62,2547.87159,1901.92841
2026-08-23T14:40:00,NSW1,23.71016,7476.3,-777.69,3063.04178,3584.14822
2026-08-23T14:40:00,QLD1,-8,4430.69,942.75,3446.55605,1862.67395
2026-08-23T14:40:00,SA1,11.01,548.87,200.17,82.99756,647.44244
2026-08-23T14:40:00,TAS1,13.64347,992.37,-413.41,357.90166,221.05834
2026-08-23T14:40:00,VIC1,12.50256,4273.9,207.6,2550.00379,1906.30621
2026-08-23T14:45:00,NSW1,42.88,7251.99,-494.01,3165.21747,3549.00253
2026-08-23T14:45:00,QLD1,-7.34,4482.17,894.32,3380.75101,1936.34899
2026-08-23T14:45:00,SA1,3.93722,577.84,140.1,82.99553,620.27447
2026-08-23T14:45:00,TAS1,5.42694,998.79,-429.79,357.90349,211.09651
2026-08-23T14:45:00,VIC1,4.42,4359.08,23.06,2547.99554,1818.28446
2026-08-23T14:50:00,NSW1,25.1,7453.03,-709.42,3175.68327,3521.67673
2026-08-23T14:50:00,QLD1,-7.34,4461.94,884.62,3392.64495,1895.69505
2026-08-23T14:50:00,SA1,2.15886,532.67,144.1,83.0045,578.7755
2026-08-23T14:50:00,TAS1,15.24,991.46,-441,367.98897,182.47103
2026-08-23T14:50:00,VIC1,2.42,4137.5,263.88,2574.00377,1804.66623
2026-08-23T14:55:00,NSW1,23.99007,7363.69,-605.01,3163.33571,3549.95429
2026-08-23T14:55:00,QLD1,-7.01,4594.12,910.64,3402.59444,2042.30556
